id;name;ca;mg;na;so4;cl;hco3
184;FUNTANA ABBARGHENTE;-1;-1;-1;-1;-1;-1;
185;FUNTE FRIA;26.0;7.2;103.0;16.25;157.46;99.15;
186;FUTURA;37.0;12.6;15.5;18.5;25.4;207.4;
187;GABINIA;23.5;11.11;11.2;4.49;17.31;119.1;
188;GAIA;91.7;3.0;19.5;28.0;19.9;268.5;
189;GAJUM;59.7;9.2;1.0;12.0;1.2;205.0;
190;GALLO;95.09;32.6;32.0;26.9;29.2;457.64;
191;GALVANINA;135.0;23.0;36.0;68.0;37.0;445.0;
192;GARBARINO;19.0;0.5;10.0;-1;-1;69.0;
193;GAUDENZIANA;26.4;2.2;1.6;12.0;0.6;75.6;
194;GAUDIANELLO MONTICCHIO;158.0;58.0;-1;122.0;390.0;989.0;
195;GAVERINA;108.8;27.2;6.9;118.5;-1;335.6;
196;GEMMA;-1;-1;-1;-1;-1;-1;
197;GENEROSA;-1;40.8;57.0;-1;-1;550.9;
198;GERACI;8.5;3.8;6.4;25.0;14.1;24.4;
199;GERASIA;29.5;5.2;14.5;36.7;17.4;78.6;
200;GIADA;166.0;42.0;17.0;30.3;31.0;680.0;
201;GIARA;11.22;8.99;54.0;14.39;73.14;56.1;
202;GIARDINELLA;-1;-1;-1;-1;-1;-1;
203;GIOIOSA DELLA VALSESIA;5.88;0.93;4.22;6.1;2.0;15.68;
204;GIULIA;90.0;21.3;53.0;47.0;44.0;510.0;
205;GIUNONE;-1;-1;-1;-1;-1;-1;
206;GOCCIA AZZURRA;-1;-1;-1;-1;-1;-1;
207;GOCCIA DI CARNIA;17.6;4.0;1.2;2.8;0.3;79.0;
208;GOCCIA DIAMANTE;-1;-1;-1;-1;-1;-1;
209;GRAZIA;-1;-1;-1;-1;-1;-1;
210;GUIZZA;46.0;31.0;7.7;4.6;2.8;296.0;
211;IDREA;-1;-1;-1;-1;-1;-1;
212;IGEA;-1;-1;-1;-1;-1;-1;
213;ISOLA ANTICA;-1;-1;-1;-1;-1;-1;
214;JULIA;28.5;7.9;0.25;1.8;0.3;132.0;
215;KAISERWASSER;180.0;41.0;1.2;400.0;0.6;230.0;
216;LA FRANCESCA;56.0;13.84;80.15;64.1;38.0;329.0;
217;LA VENA D'ORO;62.5;8.2;1.15;5.14;1.21;232.4;
218;LA VITTORIA;864.0;110.0;119.6;1386.0;102.8;1614.0;
219;L'AQUA;61.7;18.0;15.0;23.9;10.6;266.6;
220;LAURENTINA;230.5;36.5;98.0;124.4;35.5;1140.7;
221;LAURETANA;1.0;0.3;1.1;1.4;0.42;3.6;
222;LAVAGELLO;-1;-1;-1;-1;-1;-1;
223;LAVAREDO;310.0;72.0;2.4;840.0;1.0;234.0;
224;LE GRAZIE;-1;-1;-1;-1;-1;-1;
225;LENTULA;63.9;15.9;4.1;39.0;4.5;232.0;
226;LEONA;-1;-1;-1;-1;-1;-1;
227;LETE;321.0;17.5;5.1;8.65;7.64;1055.3;
228;LEVIA;18.3;15.7;44.0;-1;68.0;71.1;
229;LEVICO CASARA;7.0;1.2;1.0;10.0;0.54;17.0;
230;LEVISSIMA;21.0;1.7;1.9;16.9;-1;57.1;
231;LIEVE;65.0;17.0;15.3;51.0;10.3;257.0;
232;LILIA;33.9;10.5;-1;-1;-1;268.0;
233;LIMPAS;-1;-1;36.0;-1;-1;-1;
234;LIMPIA;48.0;23.3;0.42;9.4;0.78;244.0;
235;LIMPIDA;49.6;16.6;18.2;24.0;23.2;222.7;
236;LINARELLE;-1;-1;-1;-1;-1;-1;
237;LIZZARDA;-1;-1;-1;-1;-1;-1;
238;RECOARO;35.2;14.0;0.9;19.9;0.9;150.0;
239;LUCE;43.6;14.6;58.5;-1;61.0;217.0;
240;LUNA;47.6;17.2;3.5;54.8;4.6;156.2;
241;LURISIA;-1;0.35;2.7;-1;-1;18.0;
242;LYDE;118.9;51.3;30.0;35.4;49.9;591.8;
243;LYNX;53.4;4.6;2.7;9.4;4.0;180.0;
244;MADONNA DELLA  MERCEDE;104.7;44.0;30.0;71.8;30.6;486.0;
245;MADONNA DELLA GUARDIA;20.5;4.3;6.5;14.9;10.3;72.7;
246;MADONNA DELL'AMBRO;82.96;33.6;12.2;30.09;12.5;396.62;
247;MANGIATORELLA;6.2;1.6;9.8;4.7;11.8;28.9;
248;MANIVA;38.0;4.3;2.0;5.4;2.0;131.8;
249;MARGHERITA DELLA SILA;-1;-1;-1;-1;-1;-1;
250;MARZIA;302.8;87.4;10.5;540.0;17.2;610.0;
251;MAXIM'S;21.5;1.5;4.2;6.62;6.65;57.0;
252;MEO;23.5;7.71;11.92;5.0;11.8;119.0;
253;MERANER;4.3;1.3;4.0;-1;-1;16.0;
254;MIA;95.2;8.7;9.2;10.5;8.4;333.0;
255;MINIERI;-1;-1;-1;-1;-1;-1;
256;MISIA;72.2;3.4;3.22;20.34;6.88;209.0;
257;MOLINO DELLE OGNE;53.0;1.9;5.5;7.1;11.0;164.7;
258;MOLISIA;74.0;7.0;5.0;5.26;4.46;252.0;
259;MONTE BIANCO;30.0;25.0;15.0;375.0;1.0;62.0;
260;MONTE CIMONE;33.0;5.5;2.7;9.9;2.8;125.0;
261;MONTECHIARO;-1;-1;-1;-1;-1;-1;
262;MONTEFERRANTE;-1;-1;-1;-1;-1;-1;
263;MONTEFORTE;96.5;15.2;3.6;21.2;4.7;351.0;
264;MONTEVERDE;28.0;8.65;16.8;25.4;7.4;134.5;
265;MONTICELLO;48.0;20.6;48.1;19.9;29.6;384.3;
266;MONTINVERNO;132.8;38.9;17.5;183.5;7.1;401.0;
267;MONVISO;-1;0.61;1.8;3.7;0.5;-1;
268;MOSCHETTA;13.6;8.8;11.7;8.4;15.0;97.6;
269;MOTETTE;55.0;1.4;5.7;8.3;10.0;163.0;
270;NATIA;35.0;4.0;32.0;3.0;16.0;213.0;
271;NEREA;55.0;0.6;1.7;2.9;4.3;171.0;
272;NEVE;34.4;5.5;3.5;1.3;1.2;136.7;
273;NINFA LEGGERA;40.0;-1;-1;13.0;24.0;280.0;
274;NIVA;-1;-1;-1;-1;-1;-1;
275;NOVA SORGENTE CESA;39.0;4.2;3.1;11.3;6.2;119.0;
276;NUOVA ACQUACHIARA;30.0;16.2;1.5;10.1;1.6;159.0;
277;NUOVA GAREISA;30.4;2.8;11.6;19.9;-1;-1;
278;ORIANNA;103.0;32.0;33.0;65.0;52.0;412.0;
279;OROBICA;67.7;18.7;18.3;28.7;9.8;292.0;
280;OROPA;-1;-1;-1;-1;-1;-1;
281;ORSINELLA;55.1;20.5;12.4;6.4;14.6;251.0;
282;PALINA;43.0;6.0;7.7;18.0;9.4;142.0;
283;PALMENSE DEL PICENO;12080.0;2131.0;3392.0;3721.0;8884.0;33600.0;
284;PANNA;32.9;6.5;6.4;21.0;9.0;106.0;
285;PARAVITA;106.7;38.7;70.2;42.2;120.0;446.0;
